"Treatment","Season","Month","GPP (g C)","Rm (g C)","Rg (g C)","Cs (g C)","Clit_foliage (g C)","Cn (g C)","Clit_root (g C)","C out (g C)","C imbalance (g C)"
"ambient","Summer-2013","DJF-2013",50.4450767066667,7.2770687161339,10.5317126170746,35.1057087235822,0.00978248733838989,5.02244742124869,0.00978248733838989,57.9565024527162,-7.5114257460495
"ambient","Autumn-2013","MAM-2013",254.933537500167,20.0621117304106,34.8393345845103,116.131115281701,0.028012945715944,14.5852456180012,0.028012945715944,185.673833106055,69.2597043941116
"ambient","Winter-2013","JJA-2013",844.734160560667,96.2072083508749,182.731939445186,609.106464817285,0.243628728960173,126.225660398657,0.243628728960173,1014.75853046992,-170.024369909256
"ambient","Spring-2013","SON-2013",2469.1523795993,400.143186766877,396.562547883582,1321.87515961194,0.57113405188955,189.037168316514,0.57113405188955,2308.76033068269,160.392048916605
"ambient","Summer-2014","DJF-2014",4333.04127201281,1021.84649371213,724.278224204407,2414.26074734802,1.07893065251388,313.826394865051,1.07893065251388,4476.36972143464,-143.328449421836
"ambient","Autumn-2014","MAM-2014",4347.97112022835,1096.24635218508,623.866895012085,2079.55631670695,1.33827153205979,179.503104079364,1.33827153205979,3981.84921104759,366.12190918075
"elevated","Summer-2013","DJF-2013",60.0097334421667,8.45919300352715,12.7226815197185,42.4089383990616,0.0113519950646584,4.61727762097654,0.0113519950646584,68.2307945334131,-8.22106109124645
"elevated","Autumn-2013","MAM-2013",316.330070588,25.5415949297737,46.4462264709042,154.820754903014,0.0348043101540481,13.6683174893485,0.0348043101540481,240.546502413348,75.7835681746515
"elevated","Winter-2013","JJA-2013",1038.42773335717,119.158002656787,226.919614395321,756.398714651071,0.273672760292566,115.817409797934,0.273672760292566,1218.8410870217,-180.413353664533
"elevated","Spring-2013","SON-2013",3026.33235919975,557.088727773314,537.55385298389,1791.84617661297,0.740304824371068,301.478231933268,0.740304824371068,3189.44759895218,-163.115239752437
"elevated","Summer-2014","DJF-2014",4431.46218182631,1344.26594075493,762.375628412988,2541.25209470996,1.29024027320191,415.808837221909,1.29024027320191,5066.28298164619,-634.82079981988
"elevated","Autumn-2014","MAM-2014",4175.06486009971,1312.70873840311,525.761535048503,1752.53845016168,1.30609302497021,411.960081926944,1.30609302497021,4005.58099159018,169.483868509537
